timestamp,demand,pred,containers,lat_ms,cpu_pct,over,under,policy
1970-01-01 02:03:00,1,1.1104636192321777,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:04:00,0,1.1080353260040283,2,40.0,0.0,1,0,policy
1970-01-01 02:05:00,1,1.0582492351531982,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:06:00,0,1.0529940128326416,2,40.0,0.0,1,0,policy
1970-01-01 02:07:00,0,1.031320333480835,2,40.0,0.0,1,0,policy
1970-01-01 02:08:00,1,0.9712149500846863,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:09:00,1,0.9803541302680969,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:10:00,0,1.0094072818756104,2,40.0,0.0,1,0,policy
1970-01-01 02:11:00,0,0.9719982743263245,2,40.0,0.0,1,0,policy
1970-01-01 02:12:00,2,0.9088948369026184,2,40.0,5.6000000000000005,1,0,policy
1970-01-01 02:13:00,1,0.9556332230567932,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:14:00,1,0.9951863884925842,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:15:00,1,0.9763297438621521,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:16:00,1,0.9762488007545471,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:17:00,0,0.9785433411598206,2,40.0,0.0,1,0,policy
1970-01-01 02:18:00,2,0.9298157095909119,2,40.0,5.6000000000000005,1,0,policy
1970-01-01 02:19:00,1,0.9612947106361389,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:20:00,2,0.9936278462409973,2,40.0,5.6000000000000005,1,0,policy
1970-01-01 02:21:00,1,1.0361499786376953,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:22:00,2,1.0374195575714111,2,40.0,5.6000000000000005,1,0,policy
1970-01-01 02:23:00,0,1.0798258781433105,2,40.0,0.0,1,0,policy
1970-01-01 02:24:00,1,1.0199053287506104,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:25:00,0,1.0051088333129883,2,40.0,0.0,1,0,policy
1970-01-01 02:26:00,1,0.9778087735176086,2,40.0,2.8000000000000003,1,0,policy
1970-01-01 02:27:00,3,0.9855847954750061,2,40.0,8.4,1,0,policy
